_lab_Sample Name,_lab_country,_lab_city,_lab_street,Feature 01,Feature 02,Feature 03,Feature 04,Feature 05,Feature 06,Feature 07,Feature 08,Feature 09,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Feature 20,Feature 21,Feature 22,Feature 23,Feature 24,Feature 25,Feature 26,Feature 27,Feature 28,Feature 29,Feature 30,Feature 31,Feature 32,Feature 33,Feature 34,Feature 35,Feature 36,Feature 37
Sample 011,3,2,1,4246.490946,2836.787498,7251.935731,21028.97798,338.7506694,700.1883158,833.9623517,4636.714599,3649.863766,427.8541858,175.9577041,1686.029088,134.9061237,8537.147112,28.46038083,329.9462901,1267.798823,475.961219,33.1415807,7.278695273,12.84203042,179.5907869,440.1408703,245.0579891,2523.900858,7.670605945,3343.843234,26.74642597,225.1213337,586439.6147,9.168261715,740032.328,184.3447496,25.99271758,31.98206498,4.22653515,4.342148544
Sample 012,3,2,1,3977.303926,2919.091113,7579.79122,21421.19615,352.1615726,743.2554275,890.1754136,4803.064932,2923.169839,410.545282,152.4004812,1578.136195,126.5835573,7047.416766,24.31403381,280.4333387,1039.841603,337.9562615,28.1142464,6.656553283,9.766673285,164.5351463,319.7036762,226.5383394,2245.99892,7.838787885,420.7860634,10.52359607,144.0063706,675112.4164,6.378407533,234826.9147,171.8116666,23.35494316,26.37440347,4.334291917,3.700204892
Sample 013,3,2,2,3723.957167,2604.576209,6782.907145,20882.84358,349.5489687,610.5331632,836.167517,4416.691913,3136.178699,424.819119,153.9374508,1647.694556,143.726255,8247.280293,27.00498321,288.7558912,1094.101681,348.9503535,28.34653895,6.986709037,10.56252913,164.0503392,375.0380415,233.6035418,2641.339034,8.089679087,1688.891141,13.53270363,130.3819987,361022.0492,8.490251371,734957.5417,184.5935276,24.35223718,30.0056668,3.78196838,3.816689211
Sample 014,3,2,2,4193.485376,2507.183363,6568.430565,21152.28096,333.5777389,627.9547549,930.241336,4533.234251,3295.243504,395.0824028,145.1077586,1230.515679,130.9368737,7452.5981,29.56622678,275.2259277,1105.660043,341.2712666,30.42381743,6.794038072,11.0081152,162.6538383,496.8053436,249.2809988,2238.949601,7.682942334,420.4034604,10.9032739,127.7585821,620278.4271,7.005953094,970598.5251,163.6625689,21.67312906,27.10367858,3.982327056,4.088216789
Sample 015,3,2,2,3843.80028,2574.546593,6908.425994,21221.2242,329.5999656,644.0177475,926.9681345,4413.203504,3178.751779,471.6198754,140.6999814,1401.542582,134.7083487,7817.036475,29.86593884,294.9484432,1114.428529,350.3860546,30.36021292,7.114210781,10.94175711,164.7765535,396.9389237,236.1087861,2568.058262,7.829817868,740.0774401,10.54125697,127.3617921,811150.8851,6.49820634,866930.2918,164.4660238,22.20372965,28.23943882,4.647463009,3.879560811
Sample 016,3,2,3,2656.47522,1739.425729,4856.740648,16582.43284,214.7175761,414.7500846,581.6142424,3400.480446,2424.199134,283.3417649,123.550465,939.8084835,103.5674135,6422.063687,31.51821048,257.0594446,938.3479652,311.089842,25.55660668,5.774653815,10.5832136,155.9222806,292.0026574,238.4190584,2420.848067,7.665017494,420.7081829,10.09868497,133.6962249,19257.47741,6.835897816,86234.52986,134.1298806,21.02504473,27.43683306,4.552536204,4.426738791
Sample 017,3,2,3,3080.088428,2044.144443,5276.743688,16844.22312,249.5597184,500.1776727,707.607986,3700.060101,2420.982941,326.5660274,142.2273567,1239.793686,113.5134589,7072.322883,26.15942364,274.0457945,980.396169,318.4582078,27.55538792,6.600713075,10.71668832,163.2114021,278.9609491,228.8872357,2604.721274,7.309172861,1286.026492,11.45708363,178.4986855,83873.50828,8.165152783,366436.6163,125.0364906,25.17432302,28.52360367,3.689424996,4.309972803
Sample 018,3,2,3,2933.915736,2122.897618,5582.772587,19267.27406,247.8456418,506.5685823,682.371164,3953.053575,2688.709639,319.5428037,123.1523808,1293.501867,104.9907633,6197.098379,27.67877147,231.7029549,872.1794833,294.0440662,27.17349719,6.357196001,9.166705872,161.847205,294.0796624,213.0550504,2531.0855,7.313116378,420.0106704,10.04273797,163.2489668,974801.6672,8.090669205,369198.8043,138.0975222,18.72937575,24.49084738,4.529952172,4.506313381
Sample 019,4,3,1,3243.792207,2787.179017,6285.014894,22729.35067,226.6333336,171.6994004,21.11242084,4683.375052,3260.175436,644.8188064,123.247546,2130.276632,141.5070136,7272.170045,28.94493845,250.3127009,491.3894014,147.6795588,31.57736054,6.317782382,7.245400479,172.2048621,330.4121229,385.2043725,7321.980664,9.707892309,420.0955571,10.14204175,127.1430572,651349.5324,8.097901831,685028.4727,207.7097743,37.9516703,10.62192025,4.011660288,4.341129098
Sample 020,4,3,1,3220.626159,2799.635787,6866.463261,22521.31236,238.6240006,207.7665835,19.87104884,4760.441661,2772.858297,514.8530212,123.4473688,1278.119665,149.7464177,7742.371164,29.08720415,259.5322228,544.887553,147.7704696,32.10228488,6.76312675,7.391450617,178.6798718,325.1235204,360.2256763,6187.980728,10.04573096,420.5432843,10.21749765,127.3081331,231237.8162,6.902507527,597941.6354,194.8311726,30.34948242,10.36258633,4.233601729,4.405014259
