_lab_Type,Isobutane,Butane,c-2-Butene,2-Methyl-1-butene,t-2-Pentene,2-Methyl-2-butene,2<comma>2-Dimethylbutane,2-Methylpentane,Hexane,2<comma>4-Dimethylpentane,Cyclohexane,3-Methylhexane,Heptane,2<comma>4-Dimethylhexane,Toluene,2<comma>3-Dimethylhexane,Ethylbenzene,p-Xylene,1-Methyl-3-ethylbenzene,1<comma>3<comma>5-Trimethylbenzene,1<comma>2<comma>4-Trimethylbenzene,2-Methylnaphthalene,1<comma>3-Butadiene,t-2-Butene,Isopentane,Pentane,c-2-Pentene,Cyclopentane,2<comma>3-Dimethylbutane,3-Methylpentane,Methylcyclopentane,Benzene,2-Methylhexane,2<comma>2<comma>4-Trimethylpentane,Methylcyclohexane,2<comma>3<comma>4-Trimethylpentane,2<comma>3<comma>3-Trimethylpentane,3-Methylheptane,m-Xylene,o-Xylene,1-Methyl-4-ethylbenzene,1-Methyl-2-ethylbenzene,Naphthalene,1-Methylnaphthalene
RU,0.4,1.77,0.3,0.62,1.02,1.41,0.35,4.03,3.35,0.51,0.62,1.4,1.01,0.28,6.6,0.27,1.31,1.57,1.66,0.95,2.83,0.36,0,0.3,8.88,6.15,0.57,0.52,0.93,2.56,1.78,1.85,1.9,1.25,0.68,0.57,0.58,0.5,3.88,2.08,0.73,0.7,0.41,0.12
RU,0.55,2,0.1,0.41,0.58,0.86,0.27,5.29,3.28,0.63,0.55,1.87,0.93,0.22,6.29,0.2,1.37,1.74,2.31,1.2,4.06,0.22,0,0.11,9.81,5.03,0.32,0.68,1.04,3.23,3.72,1.96,2.78,0.25,0.98,0.18,0,0.57,4.24,2.75,1.03,0.94,0.29,0.09
RU,0.46,1.52,0.15,0.55,0.97,1.36,0.36,4.2,3.26,0.49,0.5,1.17,0.65,0.24,6.43,0.19,1.08,1.18,1.58,0.87,2.72,0.37,0,0.15,9.52,6.92,0.54,0.59,0.92,2.63,1.84,1.85,1.65,0.84,0.61,0.42,0,0.61,2.98,1.66,0.68,0.67,0.4,0.13
RU,0.45,1.66,0.11,0.62,0.86,1.24,0.16,3.99,4.15,0.63,0.61,1.48,0.81,0.27,6.04,0.26,1.19,1.4,1.57,0.94,2.67,0.37,0,0.12,6.19,4.52,0.48,0.49,0.82,2.61,2.59,1.7,2.35,0.42,0.56,0.3,0,0.74,3.68,1.95,0.65,0.7,0.36,0.14
RU,0.89,1.18,0.74,1.01,1.51,1.97,0.6,3.53,1.94,0.42,0.26,1.61,0.77,0.25,5.91,0.16,1.32,1.52,1.54,0.86,2.26,0.52,0.02,0.85,5.69,2.74,0.85,0.33,0.83,2.35,1.7,1.35,2.04,0,0.76,0.06,0,0.9,4.05,2,0.6,0.72,0.39,0.2
RU,0.54,2.09,0,0.01,0.01,0.02,1.14,6.82,4.26,0.41,0.78,2.49,1.81,0.23,9.57,0.2,1.04,1.88,2.01,1.24,3.88,0.23,0,0,15.3,8.27,0,0.76,1.3,4.27,2.22,3.02,2.89,0,0.17,0.01,0,0.73,4.61,2.69,0.93,0.75,0.2,0.11
RU,0.92,4.6,0.12,0.51,0.64,0.95,0.62,4.05,1.44,1.22,0.3,1.99,1.65,0.58,5.55,0.55,1.31,1.35,1.51,0.84,2.62,0.34,0,0.11,8.93,1.52,0.35,0.46,1.16,2.66,2.01,1.53,4.72,3.73,0.88,1.23,0.8,1.1,3.56,2,0.67,0.69,0.27,0.13
RU,0.3,5.99,0.02,0.42,0.58,0.85,0.2,3.23,3.03,1.05,0.37,2.02,1.53,0.62,7.84,0.6,1.58,1.73,1.7,0.88,2.82,0.25,0,0.01,5.41,3.74,0.33,0.45,0.75,2.14,1.83,1.98,4.26,3.84,0.47,1.42,0.6,1,4.5,2.43,0.74,0.73,0.46,0.07
RU,0.9,1.97,0.72,0.9,1.16,1.75,0.39,4.12,2.68,0.5,0.17,2.19,1.34,6.26,12.04,0.2,2.32,2.66,2.04,1.14,2.99,0.2,0,0.81,6.96,2.85,0.64,0.29,0.9,2.88,1.74,3.68,2.66,0,0.55,0.03,0,0.75,6.47,3.21,0.92,0.64,0.29,0.09
RU,1.27,1.72,0.33,0.8,0.97,1.51,1.22,4.16,2.21,0.45,0.62,1.79,1.17,0.25,6.9,0.16,1.55,1.74,1.78,1,2.48,0.08,0,0.37,9.26,3.35,0.54,0.47,1.12,2.68,1.93,1.62,2.2,0.26,0.8,0,0,1.04,4.14,2.06,0.78,0.66,0.21,0.03
RU,1.07,2.5,0.04,0.57,0.71,1.09,0.43,5.66,2.94,0.53,0.28,2.39,1.42,0.28,3.48,0.19,1.51,1.93,1.98,1.09,3.49,0.26,0,0.04,8.34,5.14,0.4,0.55,1.03,3.54,2.05,0.48,2.99,0,0.66,0,0,0.88,4.61,2.54,0.88,0.8,0.3,0.12
RU,0.75,1.74,0.13,0.49,0.62,1.01,0.67,4.47,2.65,0.37,0.13,1.59,1.06,0.22,7.48,0.2,2.24,2.54,2.26,1.34,3.6,0.42,0,0.17,9.39,6.97,0.35,0.9,1.03,2.72,1.2,0,1.94,0.45,0.52,0.2,0,0.6,6.23,3.22,0.98,0.87,0.56,0.14
RU,1.17,2.76,0.08,0.61,0.81,1.21,0.42,5.45,3.31,0.61,0.48,2.33,1.51,0.31,5.85,0.23,1.36,1.21,1.85,0.97,3.08,0.3,0,0.09,8.49,5.34,0.41,0.79,1.05,3.41,2.58,0.47,3.16,0.68,0.76,0.29,0,0.78,3.03,1.57,0.82,0.81,0.36,0.14
RU,0.97,1.4,0.47,0.62,0.84,1.21,1.08,4.02,2.33,0.45,0.48,2.06,1.31,0.36,6.75,0.3,1.59,1.67,1.82,1.01,2.87,0.28,0,0.53,8.11,3.05,0.47,0.42,0.98,2.59,1.99,1.53,2.64,0,0.89,0.07,0,1.21,4.32,2.24,0.76,0.79,0.44,0.09
RU,0.81,2.77,0.1,0.29,0.38,0.61,1.67,5.43,3.49,1.14,1.41,1.72,1.21,0.51,7.79,0.48,1.31,1.69,1.1,0.66,1.75,0.17,0,0.1,11.01,5.52,0.21,0.71,1.92,3.45,2.63,1.76,3.28,3.27,1.45,1.54,1.2,0.76,4.04,2.03,0.49,0.4,0.15,0.07
RU,0.88,1.85,0.7,0.95,1.17,1.81,0.23,3.42,1.94,0.45,0.37,1.68,0.85,0.26,6.45,0.17,1.56,1.73,1.73,1.01,2.71,0.21,0,0.79,6.51,3.26,0.65,0.43,0.74,2.24,1.82,1.63,2.18,0,0.93,0.05,0,1.1,4.51,2.3,0.71,0.73,0.4,0.08
RU,1.32,1.65,0.51,0.76,1,1.68,0.14,3.06,1.98,0.44,0.56,1.52,0.88,0.26,5.91,0.18,1.7,1.67,1.97,1.07,2.79,0.16,0.01,0.58,5.9,3.21,0.57,0.42,0.65,2.01,1.91,1.18,1.98,0,0.9,0.06,0,1.05,4.23,2.27,0.84,0.9,0.5,0.05
RU,0.86,3.42,0.21,0.62,0.84,1.2,0.34,5.74,2.92,0.46,0.18,2.06,1.46,0.33,4.77,0.29,1.88,1.6,2.08,0.98,2.97,0.25,0,0.21,8.47,6.47,0.41,0.71,1.07,3.34,1.57,1.74,2.45,0.38,0.48,0.23,0,0.89,3.99,2.2,0.89,0.86,0.37,0.1
RU,1.16,3.25,0.18,0.32,0.4,0.61,1.13,4.93,1.77,0.43,0.66,1.84,1.55,0.38,8.19,0.34,2.06,1.78,1.97,0.92,2.76,0.33,0,0.22,8.88,3.11,0.22,0.58,1.2,3.27,2.35,2.01,2.35,1.02,0.9,0.32,0,0.98,4.46,2.45,0.87,0.84,0.39,0.13
RU,1,1.44,0.2,0.53,0.74,1.02,1.66,3.7,1.54,0.43,1.08,1.77,0.93,0.3,6.01,0.2,1.43,1.53,1.59,0.93,2.35,0.62,0,0.19,7.43,2,0.42,0.45,1.03,2.37,2.07,1.17,2.28,0.26,1.05,0.06,0,1.27,3.98,2.06,0.66,0.73,0.47,0.24
RU,0.3,4.96,0.21,0.51,0.7,0.94,0.28,2.92,1.99,0.8,0.1,1.67,1.17,0.79,6.9,0.9,1.32,1.38,1.48,0.74,2.65,0.16,0,0.2,6.63,3.39,0.39,0.36,1.2,1.93,1.48,1.93,2.39,6.8,0.5,3.69,3.54,0.84,3.4,2.06,0.66,0.68,0.27,0.07
RU,0.52,5.66,0.04,0.42,0.57,0.81,0.36,3.58,2.77,0.94,0.34,2.07,1.64,0.55,7.8,0.53,1.58,1.71,1.71,0.89,2.84,0.23,0,0.03,6.37,3.43,0.31,0.48,0.83,2.37,1.88,2.08,4.02,3.02,0.56,1.13,0.53,1.02,4.36,2.4,0.75,0.76,0.41,0.07
